DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-18@23:02:26.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:02:46.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:02:52.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:05.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:13.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:26.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:33.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:39.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:04:05.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:04:11.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:04:25.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:04:31.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:04:38.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:04:44.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:04:59.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:12.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:18.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:24.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:30.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:36.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:43.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:49.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:05:55.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:06:03.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:06:19.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:06:26.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:06:33.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:06:39.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:06:46.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:08.|553.0|1|22|171579408,171580431,171580688,171579408,171580431,171579408,171580431,171581711,171580431,171579151,171723280,171580432|6|CNCRCANZ42G|29|224462|2442262
2016-02-18@23:06:43.|0.0|1|19|171580431,171666441|6|CNCRCANZ31G|29|1680|3293
2016-02-18@23:05:05.|329.0|0|19|171535881,171579408,171535881,171580431|6|CNCRCANZ41G|28|25789|36127
2016-02-18@23:03:05.|501.0|1|22|171581711,171579151,171580432,171580431,171762697|6|CNCRCANZ12G|29|12100|13338
2016-02-18@23:04:54.|586.0|1|22|171581968,171580687,171581968,171579664,171580687,171580688,171580431,171580688,171579408,171580688,171579408,171580688|6|CNCRCANZ42G|29|11016243|6104421
2016-02-18@23:09:48.|417.0|1|22|171580432,171580688,171580431,171580688,171580431|6|CNCRCANZ51G|29|48107|100530
2016-02-18@23:09:46.|928.0|1|19|171580688,171579408,171535881,171673865,171579408,171580431,171580688,171580431,171723280,171579408,171580432,171723280,171579151|6|CNCRCANZ32G|29|428500|8296944
2016-02-18@23:04:34.|287.0|1|22|171580431|6|CNCRCANZ52G|29|1400|1956
2016-02-18@23:04:34.|287.0|1|22|171580431|6|CNCRCANZ52G|29|1555|1284
2016-02-18@23:00:35.|976.0|1|19|173371914,171581968,171673864,171673865,171579144,171580431,171673865,171580431,171580432,171579151,171723280,171580432,171723280,171579151|6|CNCRCANZ52G|29|1628365|7570937
2016-02-18@23:01:39.|403.0|1|16|171580688,171580431,171580688,171673865|6|CNCRCANZ51G|29|349421|19651851
2016-02-18@23:00:50.|661.0|1|0|171582223,171580431,171579408,171723280,171580431,171579408,171580431,171723280,171578896,171723281,171723279|6|CNCRCANZ12G|29|191912|1658476
2016-02-18@23:06:28.|545.0|1|22|171580688,171579408,171580688,171580431,171579151,171723280,171580432,171723280,171579408|6|CNCRCANZ51G|29|630714|2121242
2016-02-18@23:06:25.|307.0|1|22|171580431,171580432|6|CNCRCANZ42G|29|230309|2087429
2016-02-18@23:07:04.|312.0|1|22|171580431|6|CNCRCANZ31G|29|6080|7685
2016-02-18@23:05:54.|252.0|1|19|171579151,171580432,171580431,171581711,171580431,171580688,171580431,171673865,171580431,171580688,171580431,171579408,171580688,171580431,171578896|6|CNCRCANZ31G|29|83077|154622
2016-02-18@23:06:00.|377.0|1|22|171580688,171580431,171580688,171580431,171580688,171579408,171580688,171580431,171580688,171580431,171580688|6|CNCRCANZ12G|29|421646|6697696
2016-02-18@23:06:44.|1897.0|1|22|172212495,171579158,171579408,171713551,171579151,171579408,171580431,171579408,171582230,171580431|6|CNCRCANZ52G|29|19145|43048
2016-02-18@23:00:59.|672.0|1|22|171579408,171580431|6|CNCRCANZ12G|29|195184|1003840
2016-02-18@23:07:15.|47.0|1|22|171580431,171579408|6|CNCRCANZ51G|29|45134|471203
2016-02-18@23:04:56.|451.0|1|22|171580687,171580688,171580431|6|CNCRCANZ42G|29|51282|58920
2016-02-18@23:03:22.|1532.0|1|19|171580688,171579408,171580431,171580688,171579408,171580431,171580432,171581711,171580432,171581711,171581712|6|CNCRCANZ52G|29|1017175|8583431
2016-02-18@23:06:07.|216.0|1|16|171579408,171723280,171580432,171580688,171580431|6|CNCRCANZ11G|29|633670|19390086
2016-02-18@23:09:43.|371.0|1|16|171580431,171580688,171580431,171580688,171673865|6|CNCRCANZ11G|29|589738|19413861
2016-02-18@23:09:11.|762.0|1|19|171579408,171580688,171579408,171580688,171591695,171579408,171580688,171579408,171580431,171579408,171580431,171579151|6|CNCRCANZ32G|29|141780|243560
2016-02-18@23:07:53.|1448.0|1|19|171579657,173371914,171581961,171673864,171673865,171580431,171579408,171580431,171579408,171535881|6|CNCRCANZ52G|29|611833|945477
2016-02-18@23:08:29.|1339.0|1|19|171580431,171579408,171580431,171579408,171673865,171673864,171579657,171673864,171581961,173371914,173371921|6|CNCRCANZ12G|29|825455|7943643
2016-02-18@23:08:29.|1798.0|1|22|171580431,171581960|6|CNCRCANZ12G|29|16624|12164
2016-02-18@23:05:43.|377.0|1|22|171582223,171580431,171594255,171591695,171580431|6|CNCRCANZ31G|29|24597|79671
2016-02-18@23:02:57.|172.0|1|22|171579408,171580431|6|CNCRCANZ41G|29|770|912
2016-02-18@23:07:35.|790.0|1|22|171580687,171580689,171673865,171580688,171579408,171580688,171579408,171580688,171580431,171723280,171580432|6|CNCRCANZ11G|29|475767|2226672
2016-02-18@23:03:30.|403.0|1|22|171579408,171580431,171580688,171579408|6|CNCRCANZ42G|29|22789|48801
2016-02-18@23:09:55.|4.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:09:48.|596.0|1|19|171580431,171579408,171580431,171580432,171579151,171723280,171580432,171723280,171579151,171579158,171579159|6|CNCRCANZ41G|29|298553|907614
2016-02-18@23:03:17.|1102.0|1|22|171580432,171580431,171579408,171591695,171579408|6|CNCRCANZ52G|29|556790|7914359
2016-02-18@23:05:01.|927.0|1|19|171579145,171581711,171580688,171579408,171580432,171579151,171580432,171580688,171580431,171580688,171580431,171580688,171580431,171580688,171580431,171580688,171580431,171579408,172196361,171579657|6|CNCRCANZ41G|29|1751521|2260815
2016-02-18@23:00:59.|779.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-18@23:04:25.|262.0|1|22|171580431,171580432|6|CNCRCANZ11G|29|76396|1250452
2016-02-18@23:05:46.|1529.0|1|19|171713551,171579151,171713544,171579144,171579151,171581711,171580688,171579151,171580432,171580431,171580688,171580431,171580688,171673864|6|CNCRCANZ31G|29|109917|232665
2016-02-18@23:00:11.|1571.0|1|22|171581961,173371914,171581961,171673864,171673866,171673865,171580431,171579151,171580944,171579151,171579159|6|CNCRCANZ32G|29|90991|275884
2016-02-18@23:08:21.|860.0|1|19|171582223,171581968,171579664,171580687,171673864,171673866,171673865,171580431,171580432,171579151,171580944,171579408|6|CNCRCANZ11G|29|66450|625792
2016-02-18@23:03:45.|293.0|1|22|171580431|6|CNCRCANZ52G|29|205|157
2016-02-18@23:09:56.|266.0|1|22|171580431|6|CNCRCANZ32G|29|205|105
2016-02-18@23:09:56.|266.0|1|22|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:08:36.|349.0|1|22|171580431|6|HSTNTXGW01-PGW|29|14026|41783
2016-02-18@23:02:15.|972.0|1|19|171535881,171673865,171535881,171579408,171580431,171580688,171580431,171580688,171580431,171580688,171580431,171580688,171580431,171580688,171673865,171579657,171580687,171581968,171579664,171581968|6|CNCRCANZ41G|29|1618706|671261
2016-02-18@23:03:08.|1566.0|1|0|171580688,171580431,171580688,171673865,171673864,171582230,171581968,171581961,171581960,171581967|6|CNCRCANZ11G|29|123882|168905
2016-02-18@23:09:12.|1672.0|1|19|171580688,171579408,171580688,171580431,171581711,171723280,171579408,171579151,171713546,171747849,171747857,171747856,171747857,171747856|6|CNCRCANZ52G|29|156952|975422
2016-02-18@23:06:03.|649.0|1|22|171673865,171535881,171673865,171579408,171580431,171579408|6|CNCRCANZ51G|29|1723855|2573270
2016-02-18@23:07:18.|515.0|1|0|171580431|6|CNCRCANZ42G|29|30397|34159
2016-02-18@23:04:41.|764.0|1|22|171579144,171673865,171535881,171580432,172195857,171580432,171580688,171580431,171673865|6|CNCRCANZ12G|29|94739|339748
2016-02-18@23:09:50.|633.0|1|22|171580431,171580688,171579408|6|CNCRCANZ12G|29|6906|35128
2016-02-18@23:09:51.|810.0|1|19|171581711,171579408,171580432,171579151,171580432,171580688,171580431,171579408,171580431,171580688,171673865,171673864,171579657|6|CNCRCANZ11G|29|216631|318935
2016-02-18@23:03:55.|426.0|1|22|171579408,171673865,171579408,171580688,171579408,171580431|6|CNCRCANZ42G|29|127972|307463
2016-02-18@23:06:11.|994.0|1|22|171579408,171580431|6|CNCRCANZ31G|29|175703|1583760
2016-02-18@23:01:22.|327.0|1|19|171580688,171579408,171580688,171579408,171580431,171580688,171579408,171580688,171579408,171580431,171580688,171579408,171580431|6|CNCRCANZ32G|29|298579|2832965
2016-02-18@23:04:42.|308.0|1|22|171580432,171580431|6|CNCRCANZ42G|29|7175|24938
2016-02-18@23:00:07.|856.0|1|16|171580431,171579151,171713551|6|CNCRCANZ51G|29|11745889|8254756
2016-02-18@23:01:46.|676.0|1|22|171673865,171580431|6|CNCRCANZ12G|29|2820|1340
2016-02-18@23:08:27.|452.0|1|0|171580431,171580432,171535881,171673865,171579151,171579158,171579159,171713545,171580168|6|CNCRCANZ52G|29|81941|2357906
2016-02-18@23:02:47.|1066.0|1|0|171580431,171581711,171580431|6|HSTNTXGW01-PGW|29|23553|49493
2016-02-18@23:07:31.|1814.0|1|22|171580431,171591695|6|CNCRCANZ32G|29|2732|8115
2016-02-18@23:00:33.|286.0|1|16|171580431|6|CNCRCANZ52G|29|560172|19475517
2016-02-18@23:04:07.|2293.0|1|19|171581968,171581961,171673864,171580687,171673865,171580431,171580432,171581711,171580432,172195864|6|CNCRCANZ51G|29|408533|802493
2016-02-18@23:08:25.|491.0|1|22|171579408,171580431,171579408|6|CNCRCANZ42G|29|14693|45547
